"Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years"
"675,43.91389,-78.6798,4,99,1,1,9,0,90,3,95,7,62,8,93,-4,91,2,48,-17"
"225,46.50593,-84.2873,0,100,0,5,15,0,69,-8,66,8,72,-9,80,0,80,13,40,-13"
"150,46.52455,-84.298,10,100,5,0,20,0,47,3,41,3,29,-15,45,-29,55,-10,23,1"
"165,46.18454,-82.9576,0,100,0,0,20,0,43,-7,36,0,21,-29,58,6,58,-7,25,-5"
"220,46.3904,-82.6588,0,100,0,0,20,0,19,-13,22,-13,19,-13,46,9,41,-3,7,-8"
"275,46.51668,-84.28,5,100,0,0,15,0,50,-9,25,-21,32,-19,66,8,74,16,20,-7"
"295,46.50955,-84.2659,5,100,0,0,10,0,83,2,75,-11,67,-14,78,-2,67,0,56,9"
"255,46.56732,-84.3528,0,100,0,0,10,0,73,23,62,-19,54,23,78,13,84,19,47,9"
"215,46.5328,-84.3895,0,100,0,0,25,0,58,0,46,-17,50,13,68,-11,56,6,24,-14"
"190,46.77124,-84.3616,0,100,0,0,15,0,42,-8,33,14,42,11,78,18,67,39,56,36"
"225,46.53072,-84.329,5,100,0,5,20,0,62,3,19,-40,33,-43,50,2,46,17,7,-12"
"140,46.51456,-84.2582,15,100,15,15,20,0,36,-33,18,-44,36,-26,33,-32,33,-27,4,-16"
"235,46.52417,-84.2477,5,100,5,0,5,0,44,-17,56,-14,44,-4,71,12,71,16,38,20"
"305,46.50658,-84.3041,0,100,0,0,15,0,64,-5,44,-40,52,-17,69,-3,69,-3,42,6"
"275,46.52177,-84.4441,0,100,0,0,10,0,61,-10,72,10,61,-10,78,6,72,0,33,-34"
